season,weather,Day,Month,DayPeriod,temp,humidity,windspeed,casual,registered,rented_bikes_count,Year,Profit
Winter,Clear,Wednesday,December,evening,12.3,,26.0027,5,69,74,2012,382.5287671232877
Winter,Clear,Thursday,November,morning,13.12,66.0,8.9981,10,10,20,2012,214.8287671232877
Summer,Clear,Thursday,April,morning,17.22,41.0,19.9995,0,5,5,2012,21.328767123287676
Spring,Clear,Wednesday,March,evening,22.14,42.0,23.9994,16,345,361,2012,1758.5287671232877
Winter,Clear,Saturday,October,evening,21.32,,7.0015,78,124,202,2011,1874.628767123288
Spring,Clear,Saturday,March,morning,,,,2,2,4,2011,42.82876712328767
Fall,Clear,Thursday,September,morning,23.78,78.0,6.0032,14,11,25,2011,287.9287671232877
Summer,Mist,Saturday,April,evening,22.14,52.0,,64,148,212,2012,1737.0287671232877
Winter,Clear,Friday,December,evening,11.48,75.0,7.0015,4,134,138,2012,644.8287671232877
Summer,Clear,Monday,April,morning,,,,12,294,306,2012,1470.4287671232876
Fall,Mist,Monday,September,afternoon,,70.0,8.9981,154,235,389,2011,3659.128767123288
Summer,Clear,Wednesday,May,afternoon,26.24,,,17,242,259,2011,1332.8287671232877
Fall,Clear,Monday,July,morning,34.44,,8.9981,79,158,237,2012,2038.028767123288
Summer,Mist,Sunday,April,morning,14.76,93.0,6.0032,0,4,4,2011,17.028767123287672
Spring,Mist,Monday,January,morning,9.02,,,13,407,420,2012,1973.528767123288
Spring,Clear,Monday,January,afternoon,9.84,,7.0015,9,148,157,2011,791.0287671232877
Summer,Clear,Wednesday,April,afternoon,21.32,32.0,,53,303,356,2011,2214.328767123288
Spring,Mist,Friday,February,evening,,,,11,102,113,2012,627.6287671232876
Summer,Mist,Tuesday,May,morning,20.5,72.0,6.0032,1,7,8,2012,47.12876712328767
Spring,Mist,Monday,January,morning,8.2,,19.0012,5,47,52,2011,287.9287671232877
Spring,Clear,Monday,February,morning,8.2,,0.0,1,1,2,2011,21.328767123287676
Spring,Clear,Monday,February,morning,,75.0,7.0015,6,49,55,2011,313.72876712328764
Summer,Clear,Monday,June,morning,26.24,73.0,,6,10,16,2011,146.02876712328765
Spring,Clear,Monday,January,morning,4.92,50.0,19.0012,1,0,1,2011,17.028767123287672
Fall,Clear,Wednesday,September,evening,26.24,,12.998,78,557,635,2012,3736.528767123288
Summer,Clear,Saturday,April,morning,14.76,66.0,6.0032,6,26,32,2012,214.8287671232877
Fall,Clear,Tuesday,August,morning,29.52,,8.9981,10,25,35,2011,279.32876712328766
Fall,Clear,Friday,August,afternoon,33.62,36.0,,144,647,791,2012,5258.728767123287
Fall,Clear,Wednesday,July,morning,30.34,66.0,,23,472,495,2012,2425.028767123288
Winter,Clear,Saturday,November,morning,11.48,56.0,22.0028,4,80,84,2011,412.6287671232877
Spring,Clear,Monday,March,morning,15.58,54.0,,4,20,24,2012,154.62876712328767
Fall,Rainy,Tuesday,September,morning,22.14,,23.9994,1,7,8,2011,47.12876712328767
Winter,Mist,Saturday,December,evening,,,0.0,17,130,147,2012,851.2287671232876
Summer,Clear,Wednesday,May,morning,22.14,68.0,,30,124,154,2011,1049.0287671232877
Winter,Clear,Saturday,November,morning,10.66,70.0,12.998,14,87,101,2011,614.7287671232876
Spring,Clear,Friday,February,morning,18.04,72.0,15.0013,1,7,8,2011,47.12876712328767
Fall,Clear,Sunday,September,afternoon,27.06,41.0,0.0,177,393,570,2012,4734.128767123288
Spring,Clear,Friday,March,evening,13.12,61.0,16.9979,5,102,107,2011,524.4287671232877
Winter,Clear,Friday,November,morning,9.02,44.0,12.998,6,369,375,2011,1689.7287671232878
Fall,Clear,Tuesday,August,morning,27.06,74.0,,4,17,21,2011,141.72876712328767
Summer,Clear,Thursday,June,evening,24.6,46.0,11.0014,35,193,228,2012,1431.7287671232878
